AGENCY,DATE,DESTINATION,PAX,TYPE,COST,STATUS
ONE EL NIDO SUITE,02/27/2023,PPC - EN,3,SHARED,1500,
ONE EL NIDO SUITE,02/27/2023,PPC - EN,3,SHARED,1500,
ONE EL NIDO SUITE,02/27/2023,EN - PPC,2,SHARED,1000,
ONE EL NIDO SUITE,02/27/2023,EN - PPC,2,SHARED,1000,
CORAZON,02/27/2023,EN - PPC,2,PRIVATE,5000,
FHERL,02/27/2023,ONE EL NIDO SUITE,2,SHARED,900,
FHERL,02/27/2023,LOLO OYONG PANDING INN,2,SHARED,900,
FHERL,02/27/2023,FAITH RICA PENSION,4,SHARED,1800,
FHERL,02/27/2023,MILAN GRACE INN,2,SHARED,900,
BAYVIEW,02/27/2023,PPC - EN,2,SHARED,1000,
BAYVIEW,02/27/2023,EN - PPC,2,SHARED,1000,
FRENDZ,02/27/2023,EN - PPC,3,SHARED,1500,
FRENDZ,02/27/2023,EN - PPC,4,SHARED,2000,
FRENDZ,02/27/2023,EN - PPC,2,SHARED,1000,
THUMPS UP,02/27/2023,EN - PORT BARTON,2,SHARED,1100,
THUMPS UP,02/28/2023,INLAND TOUR,2,PRIVATE,3500,
THUMPS UP,02/28/2023,EN - PPC,2,SHARED,1000,
BLACKNIGHT,02/28/2023,PPC - EN,2,SHARED,1000,
THUMPS UP,02/28/2023,EN - PORT BARTON,2,SHARED,1100,
BLACKNIGHT,02/28/2023,PPC - EN,2,SHARED,1000,
THUMPS UP,02/28/2023,EN -  ROXAS,2,SHARED,700,
BLACKNIGHT,02/29/2023,PPC - EN,9,SHARED,4500,
THUMPS UP,02/29/2023,PICK UP AIRPORT,8,PRIVATE,1000,
THUMPS UP,02/29/2023,EN - PART BARTON,2,SHARED,1100,
THUMPS UP,02/29/2023,EN - ROXAS,2,SHARED,700,
BLACKNIGHT,02/29/2023,EN - PPC,1,SHARED,200,
THUMPS UP,02/29/2023,EN - ROXAS,1,SHARED,350,
BLACKNIGHT,02/29/2023,PPC - EN,2,SHARED,1000,
THUMPS UP,02/29/2023,EN - PPC,2,SHARED,1000,
