DATE,DESTINATION,PAX,AMOUNT,TOTAL,AGENCY
08/06/2023,PPC-EN,4,1200,300,VELLAGO
08/06/2023,FRENDZ,2,450,900,FHERL 
DATE,PPC-EN,DESTINATION  ,PAX,AMOUNT,AGENCY
01/01/2023,PPC-EN,1.877310924,PRIVATE,1635.304033,CORAZON TRAVEL AND TOURS
01/01/2023,EN-PPC,1.778431373,500,1634.68008,BAYVIEW
01/01/2023,TINIGUIBAN,1.679551821,PRIVATE,1634.056127,DOUBLEGEM
01/01/2023,TINIGUIBAN,1.580672269,PRIVATE,1633.432174,DOUBLEGEM
01/01/2023,TINIGUIBAN,1.481792717,PRIVATE,1632.808221,DOUBLEGEM
01/01/2023,DROP ITI,1.382913165,PRIVATE,1632.184268,DOUBLEGEM
01/01/2023,DROP ITI,1.284033613,1200,1631.560315,VELLAGO
01/01/2023,DROP ITI,1.185154062,PRIVATE,1630.936362,MILAN
01/01/2023,BIZ IT,1.08627451,2262.5,1630.312409,ROLANDO aka INSTEK
01/01/2023,MILAN,0.987394958,2512.5,1629.688456,GFS TRAVELISTA
01/01/2023,PICK ITI,0.888515406,2762.5,1629.064503,VELLAGO
01/01/2023,EN-PPC,0.789635854,3012.5,1628.44055,MILAN
01/01/2023,PPC-EN,0.690756303,3262.5,1627.816597,MILAN
01/01/2023,EN-PPC,0.591876751,3512.5,1627.192644,MILAN
01/01/2023,EN-PPC,0.492997199,3762.5,1626.568691,ARMAN
01/01/2023,3 TRANSFERS,0.394117647,4012.5,1625.944738,ONE EL NIDO SUITE
01/01/2023,PPC-EN,0.295238095,PRIVATE,1625.320785,CORAZON TRAVEL AND TOURS
01/01/2023,FRENDZ,0.196358543,4839.285714,1624.696832,FHERL
01/01/2023,EN-PPC,0.097478992,5495.238095,1624.072879,FRENDZ
01/01/2023,PPC-EN,-0.00140056,6151.190476,1623.448926,GFS TO MAYMAY
01/01/2023,EN-PPC,-0.100280112,6807.142857,1622.824973,DOUBLEGEM
01/01/2023,PPC-EN,-0.199159664,7463.095238,1622.20102,MILAN
01/01/2023,EN-JOINER,-0.298039216,8119.047619,1621.577067,BOGS
01/01/2023,PPC-PRIVATE,-0.396918768,8775,1620.953114,BOGS
01/01/2023,EN-JOINER,-0.495798319,9430.952381,1620.329161,ARMAN
01/01/2023,DROP ITI,-0.594677871,PRIVATE,1619.705208,BAYVIEW
01/01/2023,EN-PPC,-0.693557423,2293.636364,1619.081255,BAYVIEW
01/01/2023,EN-PPC,-0.792436975,2491.818182,1618.457302,FRENDZ
01/01/2023,DROP ITI,-0.891316527,2690,1617.833349,VELLAGO
01/01/2023,PPC-EN,-0.990196078,2888.181818,1617.209396,MILAN
01/01/2023,PPC-EN,-1.08907563,3086.363636,1616.585443,MILAN
01/01/2023,PPC-EN,-1.187955182,3284.545455,1615.96149,CORAZON TRAVEL AND TOURS
01/01/2023,PPC-EN,-1.286834734,3482.727273,1615.337537,FRENDZ
01/01/2023,PPC-EN,-1.385714286,3680.909091,1614.713584,GFS TO MAYMAY
01/01/2023,PPC-EN,-1.484593838,3879.090909,1614.089631,MILAN
01/01/2023,EN-JOINER,12+3,4077.272727,1613.465678,BOGS
01/01/2023,PPC-EN,5.141414141,4275.454545,1612.841725,MILAN
01/01/2023,TRANSFER,5.16302152,PRIVATE,1612.217772,MILAN
01/01/2023,EN-PPC,5.184628898,PRIVATE,1611.593819,CORAZON TRAVEL AND TOURS
01/01/2023,PPC-EN,5.206236276,500,1610.969866,CORAZON TRAVEL AND TOURS
01/01/2023,ANITSA-BAYVIEW,5.227843654,PRIVATE,1610.345913,BAYVIEW
01/01/2023,EN-PPC,5.249451032,6107.142857,1609.72196,FRENDZ
01/01/2023,VINCENT,5.27105841,7051.785714,1609.098007,PASAKAY NI VINCENT
01/01/2023,ROB-TAYTAY,5.292665788,7996.428571,1608.474054,GFS TRAVELISTA
01/01/2023,EN-PPC,5.314273166,8941.071429,1607.850101,MILAN
01/01/2023,PPC-PRIVATE,5.335880545,9885.714286,1607.226148,BOGS
01/01/2023,PPC-JOINER,5.357487923,10830.35714,1606.602195,ARMAN
01/01/2023,EN-PRIVATE,5.379095301,11775,1605.978242,ARMAN
01/01/2023,DALUYON-JETTY LIO,5.400702679,PRIVATE,1605.354289,CORAZON TRAVEL AND TOURS
01/01/2023,PPC-EN,5.422310057,460,1604.730336,MILAN
01/01/2023,EN-PPC,5.443917435,450,1604.106383,MILAN
01/01/2023,PPC-EN,5.465524813,440,1603.48243,BAYVIEW
01/01/2023,EN-PPC,5.487132191,430,1602.858477,FRENDZ
01/01/2023,VINCENT,5.50873957,420,1602.234524,PASAKAY NI VINCENT
01/01/2023,PPC-EN,5.530346948,PRIVATE,1601.610571,MILAN
01/01/2023,EN-PRIVATE,5.551954326,350,1600.986618,BOGS
01/01/2023,PPC-JOINER,5.573561704,-975,1600.362665,BOGS
01/01/2023,PPC-PRIVATE,5.595169082,-2300,1599.738712,ARMAN
01/01/2023,EN-PPC,5.61677646,-3625,1599.114759,FRENDZ
01/01/2023,EN-PPC,5.638383838,PRIVATE,1598.490806,PASAKAY NI VINCENT
01/01/2023,EN-PPC,5.659991217,2042.424242,1597.866853,DOUBLEGEM
01/01/2023,DROP ITI,5.681598595,2024.592075,1597.2429,VELLAGO
01/01/2023,PPC-EN,5.703205973,2006.759907,1596.618947,MILAN
01/01/2023,ITI,5.724813351,1988.927739,1595.994994,BOGS
01/01/2023,EN-JOINER,5.746420729,1971.095571,1595.371041,BOGS
01/01/2023,EN-JOINER,5.768028107,1953.263403,1594.747088,ARMAN
01/01/2023,PPC-PRIVATE,5.789635485,1935.431235,1594.123135,JOSEPH
01/01/2023,EN-JOINER,5.811242863,1917.599068,1593.499182,JOSEPH
01/01/2023,INLAND TOUR,5.832850242,1899.7669,1592.875229,GFS TO MAYMAY
01/01/2023,DROP ITI,5.85445762,1881.934732,1592.251276,ONE EL NIDO SUITE
01/01/2023,DROP ITI,5.876064998,1864.102564,1591.627323,GFS TO ALEXIS
01/01/2023,EN-PPC,5.897672376,1846.270396,1591.00337,VELLAGO
01/01/2023,EN-PPC,5.919279754,PRIVATE,1590.379417,VELLAGO
01/01/2023,DROP ITI,5.940887132,PRIVATE,1589.755464,BAYVIEW
01/01/2023,VINCENT,5.96249451,450,1589.131511,PASAKAY NI VINCENT
01/01/2023,MILAN,5.984101888,450,1588.507558,GFS TRAVELISTA
01/01/2023,TO PORT,6.005709267,PRIVATE,1587.883606,DOUBLEGEM
01/01/2023,PPC-EN,6.027316645,-238.8888889,1587.259653,MILAN
01/01/2023,EN-PRIVATE,6.048924023,-625.5555556,1586.6357,BOGS
01/01/2023,EN-JOINER,6.070531401,-1012.222222,1586.011747,ARMAN
01/01/2023,EN-PPC,6.092138779,-1398.888889,1585.387794,FRENDZ
01/01/2023,PPC-EN,1(2 seats),-1785.555556,1584.763841,BAYVIEW
01/01/2023,PPC-JURIAS,2,-2172.222222,1584.139888,RONEL
01/01/2023,FRENDZ,2.1,-2558.888889,1583.515935,FHERL
01/01/2023,MILAN,2.2,-2945.555556,1582.891982,GFS TRAVELISTA
01/01/2023,DROP ITI,2.3,-3332.222222,1582.268029,VELLAGO
01/01/2023,PPC-EN,12+1,PRIVATE,1581.644076,MILAN
01/01/2023,PPC-PRIVATE,12+1,900,1581.020123,BOGS
01/01/2023,EN-JOINER,5.106722689,-355,1580.39617,ARMAN
01/01/2023,PPC-JOINER,5.114285714,-1610,1579.772217,ARMAN
01/01/2023,FRENDZ,5.121848739,-2865,1579.148264,MARK
02/01/2023,NNAY ASTER,5.129411765,PRIVATE,1578.524311,ONE EL NIDO SUITE
02/01/2023,OFFICE-SEDA,5.13697479,PRIVATE,1577.900358,TARAWIS
02/01/2023,MILAN,5.144537815,450,1577.276405,FHERL
02/01/2023,PICK ITI,5.15210084,PRIVATE,1576.652452,BAYVIEW
02/01/2023,PPC-EN,5.159663866,450,1576.028499,ROLANDO aka INSTEK
02/01/2023,FRENDZ,5.167226891,450,1575.404546,FHERL
02/01/2023,DROP ITI,5.174789916,charge-901,1574.780593,VELLAGO
02/01/2023,PPC-EN,5.182352941,1608.928571,1574.15664,MILAN
02/01/2023,PPC-PRIVATE,5.189915966,1226.190476,1573.532687,BOGS
02/01/2023,PPC-PRIVATE,5.197478992,843.452381,1572.908734,ARMAN
02/01/2023,PPC-JOINER,5.205042017,460.7142857,1572.284781,JOSEPH
02/01/2023,EN-PRIVATE,5.212605042,77.97619048,1571.660828,JOSEPH
02/01/2023,DROP ITI,5.220168067,-304.7619048,1571.036875,VELLAGO
02/01/2023,FRENDZ,5.227731092,-687.5,1570.412922,FHERL 
02/01/2023,PPC-EN,5.235294118,-1070.238095,1569.788969,ARMAN
02/01/2023,TRANSFER,5.242857143,PRIVATE,1569.165016, ST.JOHN
02/01/2023,EN-PPC,5.250420168,550,1568.541063,DMC TRAVCON TRAVEL AND TOURS
02/01/2023,PPC-EN,5.257983193,PRIVATE,1567.91711,CORAZON TRAVEL AND TOURS
02/01/2023,DROP ITI,5.265546218,PRIVATE,1567.293157,TARAWIS
02/01/2023,DROP ITI,5.273109244,PRIVATE,1566.669204,BAYVIEW
02/01/2023,FRENDZ,5.280672269,4065.934066,1566.045251,FHERL
02/01/2023,EN-PPC,5.288235294,4290.43956,1565.421298,FRENDZ
02/01/2023,MILAN,5.295798319,4514.945055,1564.797345,FHERL
02/01/2023,PPC-EN,5.303361345,4739.450549,1564.173392,DOUBLEGEM
